file,context,source,translation,category,suggested_check
st_cad_Chinese.ts,QObject,The following variables do not exist:,以下变量不存在：,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"LCS U/V Axis are not ortho, please check it.",LCS U/V轴不是正交的，请检查。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,An error occurred in the OCC model library.,OCC模型库发生错误。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Curve creation failed. Please check.,曲线创建失败，请检查。（可能有各种各样的原因导致失败）。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,Mesh Fail,网格化失败,网格,检查网格类型、求解器是否匹配，查看病态网格；适当调整 3D 网格、波端口网格或自适应网格参数。
st_cad_Chinese.ts,QObject,Point P is too close to P1.,P点不能过于接近P1。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The offset of Ang0 & Ang1 > 360 or Ang0 = Ang1,角1和角2的偏移不能大于360，且角1不能等于角2,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The value of t0 cannot be empty.,t0的值不能为空。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The value of t0 cannot contain Chinese characters.,t0的值不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The value of t0 cannot contain other characters.,t0的值不能包含其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The value of t1 cannot be empty.,t1的值不能为空。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The value of t1 cannot contain Chinese characters.,t1的值不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The value of t1 cannot contain other characters.,t1的值不能包含其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The definition of U(t) cannot be empty.,U(t)的定义不能为空。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The definition of U(t) cannot contain Chinese characters.,U(t)的定义不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The definition of V(t) cannot be empty.,V(t)的定义不能为空。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The definition of W(t) cannot be empty.,W(t)的定义不能为空。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The definition of W(t) cannot contain Chinese characters.,W(t)的定义不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The definition of U(t) cannot contain other characters.,U(t)的定义不能包含其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
